uuid,status,date,start_time,end_time,user_uuid,name,code,type
05d4caaf-b9cf-4778-9698-b8a6cae85aa6,CONFIRMED,2022-11-14,13:30:00,16:00:00,75e74cd5-cc8e-4f04-a9c4-1543b79dc7d3,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
639533fa-532b-4051-a616-15d20a127926,CONFIRMED,2022-11-08,09:00:00,12:00:00,47159c81-f059-4775-a76d-bb531f7ad687,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
5582d0de-f2d2-468c-94db-5e52f63f18ad,CONFIRMED,2022-11-25,16:30:00,18:30:00,cb6a901d-2411-4031-8061-bd715cfb86d8,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
a610f4fb-d04a-457f-a5a7-7ed278201439,CONFIRMED,2022-12-01,14:00:00,17:30:00,83abb97d-72c7-40c6-a740-6da5b3099344,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
6b84e65b-ea40-4372-a173-31d82123dcd0,CONFIRMED,2022-12-01,09:00:00,12:00:00,83abb97d-72c7-40c6-a740-6da5b3099344,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
81bde001-15a4-4768-b4a2-6a5b42a88e4a,CONFIRMED,2022-11-21,13:30:00,16:30:00,4d492cc7-d38b-4efa-aa85-c19a06a69e1b,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
61b7d4b7-89aa-4e81-92ed-7efb8cb16621,CONFIRMED,2022-11-22,13:30:00,16:30:00,4d492cc7-d38b-4efa-aa85-c19a06a69e1b,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
f19a80ab-2c95-4ce0-bebb-f5f79bd745e1,CONFIRMED,2022-11-03,14:30:00,15:00:00,af6dd0e1-0af3-4b5e-b183-d5d98ca9d224,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
fc75b525-6ee9-44c8-8f98-e06093398f9f,CONFIRMED,2022-11-03,15:30:00,16:00:00,af6dd0e1-0af3-4b5e-b183-d5d98ca9d224,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
d2e49b59-3527-4544-be6a-5c0fbe3bfec2,CONFIRMED,2022-11-23,08:30:00,12:00:00,9737cf63-bd14-4593-ad25-645855c4fd5b,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
866a6fbd-6965-482d-91df-99d3af9e8645,CONFIRMED,2022-12-08,10:00:00,11:30:00,33f2cd49-046d-435b-b75c-40c8ad2802a8,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
4636473c-e8d2-4b77-94d2-e3af166399e2,CONFIRMED,2022-11-04,14:00:00,14:30:00,79d227c8-6f64-49c5-8646-da7434b8d87d,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
cfaa29f5-5807-4595-8171-6adde368d55d,CONFIRMED,2022-11-09,16:30:00,18:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
014b4679-e8db-46b4-ae5f-77ca3c44cc2b,CONFIRMED,2022-11-10,09:30:00,17:41:20,75e74cd5-cc8e-4f04-a9c4-1543b79dc7d3,PERSEUS,HSO_ABW_ITCD_PERSEUS,MEETING ROOM
06098412-d4bc-4643-b097-06fd549dc908,CONFIRMED,2022-11-25,09:00:00,11:00:00,47159c81-f059-4775-a76d-bb531f7ad687,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
adf788cf-18bf-403d-906b-1b14f44881e3,CONFIRMED,2022-12-12,14:30:00,18:00:00,9737cf63-bd14-4593-ad25-645855c4fd5b,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
333f58a0-5132-4bb9-9bde-7fe1bdba3643,CONFIRMED,2022-12-16,14:00:00,17:30:00,9737cf63-bd14-4593-ad25-645855c4fd5b,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
a0339f5f-aff7-4010-9c4e-af183b9d6224,CONFIRMED,2022-12-01,14:30:00,15:30:00,90968d1a-d609-46bb-a60a-2db0486990d6,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
8df05208-5c45-46ab-a7da-ef0c39c7423d,CONFIRMED,2022-11-09,09:00:00,11:30:00,90968d1a-d609-46bb-a60a-2db0486990d6,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
1a422655-7786-4797-a348-1095cf67b1b7,CONFIRMED,2022-11-17,14:00:00,16:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
cb0fdbac-4c6f-4786-93d0-78e48c058a3a,CONFIRMED,2022-11-09,13:30:00,16:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
eb367980-15c3-4923-8bce-3ce6c53781a4,CONFIRMED,2022-11-09,10:30:00,18:16:40,7dbc1f90-80cf-468a-bf65-0dc28360aa65,PERSEUS,HSO_ABW_ITCD_PERSEUS,MEETING ROOM
c5566d4a-9d72-43c7-a5ce-1dc039180945,CONFIRMED,2022-12-08,15:00:00,18:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
